Ensembl.Gene.ID;GFP1;GFP2;GFP3;S1;S2;S3
ENSMUSG00000056772;26;14;25;8;6;3
ENSMUSG00000057182;5;5;9;0;0;0
ENSMUSG00000057375;209;244;224;116;99;95
ENSMUSG00000057614;33;33;30;0;0;0
ENSMUSG00000057895;18;24;15;0;0;0
ENSMUSG00000057969;80;88;68;11;13;6
ENSMUSG00000058656;71;101;107;24;12;17
ENSMUSG00000059401;82;93;117;20;16;22
ENSMUSG00000059588;181;214;244;73;83;64
ENSMUSG00000059921;199;249;248;37;17;25
ENSMUSG00000060275;90;123;146;12;6;6
ENSMUSG00000060487;14;15;16;1;1;0
ENSMUSG00000060600;326;315;348;159;163;135
ENSMUSG00000061654;29;18;24;3;4;4
ENSMUSG00000061769;25;22;40;3;6;7
ENSMUSG00000061887;1189;1341;1433;654;562;576
ENSMUSG00000062054;116;97;124;54;47;61
ENSMUSG00000062627;659;707;777;329;275;274
ENSMUSG00000062753;124;116;131;62;55;66
ENSMUSG00000062937;8456;9004;8863;3839;3462;3430
ENSMUSG00000063011;294;332;345;54;68;51
ENSMUSG00000063172;152;159;185;59;59;60
ENSMUSG00000063286;47;47;50;22;12;16
ENSMUSG00000063767;32;24;26;6;7;8
ENSMUSG00000063800;799;763;849;237;209;180
ENSMUSG00000063875;53;30;43;18;17;18
ENSMUSG00000064356;320;312;393;178;165;157
ENSMUSG00000066000;213;264;199;119;85;92
ENSMUSG00000066113;19;16;24;1;2;1
ENSMUSG00000066148;636;728;593;339;305;307
ENSMUSG00000066150;834;954;875;411;379;382
ENSMUSG00000066152;66;67;75;34;14;14
ENSMUSG00000068205;67;51;75;29;15;21
ENSMUSG00000068457;1422;1563;1935;0;1;1
ENSMUSG00000068699;899;1107;984;125;123;125
ENSMUSG00000068747;36;51;68;11;15;10
ENSMUSG00000069045;1887;2025;2031;1;2;2
ENSMUSG00000069049;1390;1533;1610;2;1;5
ENSMUSG00000069833;22801;29728;28273;15114;12353;11730
ENSMUSG00000070643;48;59;54;16;21;19
ENSMUSG00000070923;1920;2043;1702;888;779;801
ENSMUSG00000070934;925;1027;891;435;426;441
ENSMUSG00000071369;115;133;139;63;44;46
ENSMUSG00000071604;24;30;31;6;6;5
ENSMUSG00000071637;46;41;39;21;15;21
ENSMUSG00000071656;28;35;30;9;9;5
ENSMUSG00000071657;175;167;170;69;60;56
ENSMUSG00000071723;33;49;49;17;15;16
ENSMUSG00000072066;26;27;13;6;2;7
ENSMUSG00000072294;71;83;119;8;7;10
ENSMUSG00000073791;110;121;128;40;65;33
ENSMUSG00000073792;78;100;89;37;20;38
ENSMUSG00000074415;91;86;142;61;27;48
ENSMUSG00000074634;167;138;156;66;44;46
ENSMUSG00000074715;15;16;18;5;3;5
ENSMUSG00000074818;40;36;48;22;12;18
ENSMUSG00000074825;44;45;47;5;1;2
ENSMUSG00000075590;53;43;41;31;13;23
ENSMUSG00000078945;27;51;47;11;9;13
ENSMUSG00000079083;160;170;170;85;80;84
ENSMUSG00000081565;12;17;19;3;6;2
ENSMUSG00000083496;378;338;413;172;148;136
ENSMUSG00000084910;128;144;117;45;43;35
ENSMUSG00000084968;82;109;100;47;31;31
ENSMUSG00000085084;18;21;13;1;1;0
ENSMUSG00000085289;74;87;112;58;40;35
ENSMUSG00000085569;314;359;401;136;119;121
ENSMUSG00000086016;36;54;49;28;14;22
ENSMUSG00000086035;66;75;87;41;39;28
ENSMUSG00000086644;23;20;40;6;3;4
ENSMUSG00000086782;42;55;41;17;15;16
ENSMUSG00000087366;77;98;125;39;28;14
ENSMUSG00000090919;36;24;28;1;0;2
ENSMUSG00000092060;39;50;33;21;13;9
ENSMUSG00000092094;11;24;37;3;0;1
ENSMUSG00000095134;46;57;43;3;1;3
ENSMUSG00000095562;291;301;357;44;48;22
ENSMUSG00000096472;99;105;97;44;42;44
ENSMUSG00000096727;15;10;12;2;1;2
ENSMUSG00000096768;2751;3375;4043;402;297;360
ENSMUSG00000097015;30;25;33;7;8;6
ENSMUSG00000097040;53;68;102;0;0;0
ENSMUSG00000097178;7;3;5;0;0;0
ENSMUSG00000097851;12;19;15;2;6;1
ENSMUSG00000098557;145;138;131;36;35;26
ENSMUSG00000099871;5;9;11;0;1;0
ENSMUSG00000099876;55;72;57;0;0;0
ENSMUSG00000101549;20;18;15;5;4;3
ENSMUSG00000102758;190;180;287;84;85;77
ENSMUSG00000103921;37;34;48;19;8;13
ENSMUSG00000105402;25;22;24;9;7;10
ENSMUSG00000106990;63;60;41;25;23;29
ENSMUSG00000108218;9;18;10;3;0;1
ENSMUSG00000111058;30;26;32;11;10;7
ENSMUSG00000115388;36;39;49;9;14;17
ENSMUSG00000117251;28;31;32;15;12;10
ENSMUSG00000000275;2;3;4;197;154;140
ENSMUSG00000000276;57;57;56;135;118;107
ENSMUSG00000000290;82;104;115;199;189;171
ENSMUSG00000000317;6;6;9;191;197;169
ENSMUSG00000000340;105;112;107;248;197;219
ENSMUSG00000000440;3;0;0;12;14;6
ENSMUSG00000000489;411;440;439;909;838;854
ENSMUSG00000000552;107;105;122;186;157;160
ENSMUSG00000000555;951;1105;1070;2513;2219;2257
ENSMUSG00000000693;168;189;207;292;266;297
ENSMUSG00000000881;147;170;182;269;249;242
ENSMUSG00000001119;123;167;146;547;385;445
ENSMUSG00000001435;700;775;659;4584;4033;4081
ENSMUSG00000001436;346;405;410;699;627;619
ENSMUSG00000001510;1;1;1;116;106;110
ENSMUSG00000001552;93;121;103;243;218;244
ENSMUSG00000001555;23;30;44;1315;1128;1239
ENSMUSG00000001802;2;2;0;18;12;18
ENSMUSG00000001864;57;73;59;118;120;147
ENSMUSG00000001995;84;94;90;184;127;128
ENSMUSG00000002068;85;80;88;187;150;157
ENSMUSG00000002289;0;4;2;19;10;13
ENSMUSG00000002459;95;123;120;226;157;155
ENSMUSG00000002603;185;202;171;579;554;566
ENSMUSG00000002799;2;7;0;22;25;24
ENSMUSG00000002847;6;11;12;32;31;25
ENSMUSG00000002908;16;14;9;36;35;42
ENSMUSG00000002985;21;27;25;53;53;43
ENSMUSG00000003355;160;174;180;391;362;339
ENSMUSG00000003500;417;406;431;740;633;664
ENSMUSG00000003541;70;78;64;114;103;113
ENSMUSG00000003545;96;130;129;237;162;188
ENSMUSG00000003617;774;830;940;2143;1838;1931
ENSMUSG00000003814;2673;2731;2685;4915;4400;4460
ENSMUSG00000003948;70;98;78;158;119;137
ENSMUSG00000004098;5;7;6;28;26;38
ENSMUSG00000004105;1139;1295;1215;1993;1790;1834
ENSMUSG00000004460;412;448;449;677;635;675
ENSMUSG00000004668;1;2;4;14;14;15
ENSMUSG00000004952;83;70;81;291;270;282
ENSMUSG00000005124;1007;1170;1125;2122;1837;1767
ENSMUSG00000005360;8;15;16;117;85;96
ENSMUSG00000005397;34;46;47;110;83;95
ENSMUSG00000005447;18;12;13;76;85;84
ENSMUSG00000005686;105;113;104;223;188;192
ENSMUSG00000006219;61;61;74;144;126;136
ENSMUSG00000006345;0;0;0;14;8;13
ENSMUSG00000006369;5;4;9;83;79;69
ENSMUSG00000006403;30;35;37;65;73;54
ENSMUSG00000006586;199;253;239;487;409;383
ENSMUSG00000006638;91;88;116;161;127;157
ENSMUSG00000006731;39;52;45;79;66;88
ENSMUSG00000006931;61;65;80;504;462;433
ENSMUSG00000007908;8;5;10;38;46;26
ENSMUSG00000008090;95;114;106;198;159;175
ENSMUSG00000008136;204;239;238;583;504;500
ENSMUSG00000008318;28;36;33;68;52;57
ENSMUSG00000009035;783;757;791;1244;1121;1171
ENSMUSG00000009418;845;905;1054;1628;1349;1249
ENSMUSG00000009585;277;305;265;531;466;447
ENSMUSG00000009739;22;27;24;65;56;46
ENSMUSG00000009772;121;162;172;349;319;312
ENSMUSG00000010830;84;105;80;194;171;151
ENSMUSG00000012519;142;133;128;414;326;336
ENSMUSG00000012889;90;82;73;168;146;141
ENSMUSG00000013033;542;590;541;1019;954;925
ENSMUSG00000013415;38;51;35;116;97;108
ENSMUSG00000013846;66;79;63;317;265;298
ENSMUSG00000013921;0;0;1;63;62;66
ENSMUSG00000014329;67;65;63;427;338;350
ENSMUSG00000014778;254;281;249;446;390;344
ENSMUSG00000014782;37;44;28;86;87;75
ENSMUSG00000014786;167;172;198;366;275;296
ENSMUSG00000014791;8;5;12;34;26;22
ENSMUSG00000014856;151;178;133;250;248;211
ENSMUSG00000015027;91;107;113;242;201;195
ENSMUSG00000015354;172;168;195;358;326;306
ENSMUSG00000015377;65;78;92;140;104;131
ENSMUSG00000015501;405;464;481;933;764;772
ENSMUSG00000015962;3;5;2;33;29;37
ENSMUSG00000016028;5;8;6;31;35;41
ENSMUSG00000016128;401;426;405;737;591;588
ENSMUSG00000016262;471;554;493;954;815;881
ENSMUSG00000016356;28;33;30;118;96;86
ENSMUSG00000016520;88;96;99;191;170;183
ENSMUSG00000017002;1;0;0;11;9;10
ENSMUSG00000017132;165;190;227;364;300;282
ENSMUSG00000017176;129;144;143;343;278;316
ENSMUSG00000017446;188;195;189;420;346;361
ENSMUSG00000017667;107;123;118;203;159;182
ENSMUSG00000017692;18;17;18;45;29;39
ENSMUSG00000017737;10;8;6;31;38;23
ENSMUSG00000018474;481;467;460;999;896;901
ENSMUSG00000018750;75;80;75;181;156;155
ENSMUSG00000018920;1;2;1;30;30;22
ENSMUSG00000019082;123;129;143;205;210;200
ENSMUSG00000019122;120;148;128;229;226;195
ENSMUSG00000019188;330;380;365;758;593;603
ENSMUSG00000019539;2;7;1;15;14;16
